scenario,label,variant,year,formal_collection_t,informal_collection_t,mixed_collection_t,uncollected_t,closed_loop_mr_t,open_loop_mr_t,chemical_p2p_t,chemical_p2f_t,engineered_landfill_t,thermal_treatment_t,unsanitary_dumpsite_t,uncollected_to_burn_t,uncollected_to_land_t,uncollected_to_water_t,post_collection_mismanaged_t,aquatic_t,terrestrial_t,open_burning_t,total_leakage_t
BAU,Business-as-Usual,UPPER,2030,491631.027906656,975365.6861592508,1020929.677930226,1630218.45380508,138748.310100737,432590.818998191,0.0,0.0,0.0,0.0,226642.612367967,1008522.55466884,721272.041902101,447096.954108905,896643.4864551162,649400.4851904496,641815.193627921,1214427.400222647,2505643.0790410177
BAU,Business-as-Usual,UPPER,2031,495690.759361111,988738.7925438847,1029601.403118434,1724080.67154492,140741.932128294,438461.83583687514,0.0,0.0,0.0,0.0,228342.046472898,1064661.77995237,764103.715279426,474566.352272362,904494.6589176217,684766.9356795589,680932.650152815,1272927.5292751621,2638627.1151075363
BAU,Business-as-Usual,UPPER,2032,499659.969643121,1001952.3723574147,1038090.500400107,1818732.34102613,142713.498186196,444263.65275364416,0.0,0.0,0.0,0.0,230002.673368113,1121415.2717194,807281.055112545,502278.086405079,912192.5680128189,720428.8137097821,720365.783206415,1332009.959546934,2772804.556463131
BAU,Business-as-Usual,UPPER,2033,503944.843635027,1015802.8426978495,1047231.68929964,1915609.8336859,144775.65165666,450342.1900125961,0.0,0.0,0.0,0.0,231804.934551914,1180195.13909454,851437.004789851,530625.710383054,920452.8709910713,756946.5710543116,760675.257688661,1393248.1631050808,2910869.9918480534
BAU,Business-as-Usual,UPPER,2034,508153.39026291,1029487.9370524995,1056217.456605817,2013193.31181292,146814.205570132,456349.8658901317,0.0,0.0,0.0,0.0,233575.534740471,1239448.13300044,896583.435541207,559190.408272411,928581.9702796546,793731.3298693374,801264.391196702,1454929.020278829,3049924.741344868
BAU,Business-as-Usual,UPPER,2035,512273.099876733,1042965.9166205812,1065017.3525480852,2111319.24216422,148822.695093283,462268.1759394309,0.0,0.0,0.0,0.0,235308.904934196,1299072.88191481,942094.338514273,587923.673608243,936566.0745954015,830716.8576940881,842062.004799923,1516941.574732984,3189720.437226995
BAU,Business-as-Usual,UPPER,2036,516723.546871336,1057067.0982901272,1074498.4865744489,2211602.45474631,150918.916134777,468458.52569963125,0.0,0.0,0.0,0.0,237192.320116177,1360061.03882701,988558.198613116,617272.048471502,945137.0695323406,868536.2360145957,883705.794830031,1580448.01105215,3332690.0418967768
BAU,Business-as-Usual,UPPER,2037,521142.085677964,1071033.56251859,1083913.459637826,2312421.93424463,152994.733163972,474593.06732174003,0.0,0.0,0.0,0.0,239066.267847263,1421421.00814661,1035253.80832155,646784.947539365,953653.0990588412,906566.0047183747,925554.881840149,1644307.302058116,3476428.18861664
BAU,Business-as-Usual,UPPER,2038,525552.947933825,1084888.8047214258,1093307.684359334,2413720.58546011,155052.790089551,480681.96650328906,0.0,0.0,0.0,0.0,240939.704900221,1483116.12738656,1082150.53626014,676442.68373198,962148.1298075458,944782.660773908,967579.643570412,1708487.441733321,3620849.746077641
BAU,Business-as-Usual,UPPER,2039,530320.464414829,1099356.350077917,1103434.538893004,2517044.93090991,157195.758446482,487040.1405008334,0.0,0.0,0.0,0.0,242977.672011727,1546094.1546553,1129937.97720067,706675.771274737,971274.0362489683,983790.2746176828,1010394.57866262,1774084.7483216291,3768269.601601932
BAU,Business-as-Usual,UPPER,2040,535123.727348181,1113762.7538461154,1113632.456766071,2620822.20074349,159327.514618106,493376.3406181299,0.0,0.0,0.0,0.0,245039.070423863,1609394.77291985,1177913.25403952,737044.662962382,980462.6285922921,1022985.7162307336,1053374.86105683,1840006.320571447,3916366.897859011
BAU,Business-as-Usual,UPPER,2041,540357.2477531,1128902.3984391028,1124714.328995815,2726884.80520826,161560.793217243,500035.2583804021,0.0,0.0,0.0,0.0,247299.506231181,1674509.18582753,1226894.1688046,768060.716685459,990412.9047787508,1063076.3285061072,1097247.48010119,1907903.208312328,4068227.016919625
BAU,Business-as-Usual,UPPER,2042,545708.842475978,1144108.9609838524,1136036.4659522711,2833597.23371826,163800.309331005,506729.12865138025,0.0,0.0,0.0,0.0,249622.420358626,1741004.70042104,1276148.75815752,799265.600216581,1000572.3564189563,1103437.6346828514,1141361.99443472,1977212.755644644,4222012.384762215
BAU,Business-as-Usual,UPPER,2043,551504.611029327,1160030.6529205772,1148269.9289396412,2942507.13930505,166137.829738967,513739.34905449813,0.0,0.0,0.0,0.0,252152.898878509,1808887.848203,1326368.27183991,831091.644817493,1011517.1940243847,1144666.285818726,1186332.53910082,2048072.316213732,4379071.141133278
BAU,Business-as-Usual,UPPER,2044,557757.973681896,1176684.0107526446,1161445.126561214,3053675.6301146,168575.620949528,521074.10763812927,0.0,0.0,0.0,0.0,254899.939918413,1878198.68274568,1377582.1222461,863557.488631727,1023277.750364712,1186792.0621549787,1232187.20004037,2120528.326058457,4539507.588253805
CDS,Collection & Disposal,CENTRAL,2020,371740.806558355,826410.7429460088,743481.613116708,616550.17142711,110390.025750747,349763.0497175835,0.0,0.0,0.0,0.0,182618.93332039,246877.00462795,246363.132513738,123310.034285422,755973.1084204505,257193.0423549285,175508.364662917,379216.385303749,811917.7923215945
CDS,Collection & Disposal,CENTRAL,2021,369625.318294746,854544.788276266,739272.488343325,657953.048804669,114231.234797319,361336.767390096,0.0,0.0,0.0,0.0,182270.224772571,263105.160317113,263135.096189793,131560.064126726,758804.3311937328,269538.7420512685,187337.583114616,397973.35525648296,854849.6804223675
CDS,Collection & Disposal,CENTRAL,2022,390209.672889049,936977.9070705659,780229.3459811641,742045.218072012,125305.654959784,393069.02345455193,0.0,0.0,0.0,0.0,192530.768567824,296410.139884682,297008.691279459,148354.707791035,805573.7616623729,299038.33685879415,211339.198664236,441385.06967118103,951762.6051942112
CDS,Collection & Disposal,CENTRAL,2023,389882.099420024,971420.5538407101,779772.8867816931,788482.690384795,129966.629557602,406734.6854644062,0.0,0.0,0.0,0.0,193320.02536244,314748.404691533,315906.571776124,157663.744116914,812930.4343428564,313521.5934587332,224749.335382882,463093.10328442405,1001364.0321260393
CDS,Collection & Disposal,CENTRAL,2024,389697.241556147,1006149.5307224652,779400.873983243,835166.229426079,134630.11762255,421099.51144245185,0.0,0.0,0.0,0.0,194216.508409802,333144.80993302,334857.371723183,167000.545414051,821010.455749285,328035.3590658155,238163.883712523,484987.733305149,1051186.9760834875
