scenario,label,variant,year,generation_from_econs_flow_t,generation_from_flow42_t,waste_generated_total_t,generation_from_econs_flow_Mt,generation_from_flow42_Mt,waste_generated_total_Mt,flow42_minus_econs_t
RES,Recycling,CENTRAL,2026,1800839.95940015,1801296.78572,1800839.9594001519,1.80083995940015,1.80129678572,1.8008399594001518,456.8263198500499
RES,Recycling,CENTRAL,2027,1892401.20120451,1892865.441,1892401.2012045109,1.89240120120451,1.892865441,1.8924012012045108,464.23979549016804
RES,Recycling,CENTRAL,2028,1987121.03485838,1987601.33208,1987121.034858378,1.9871210348583799,1.9876013320800001,1.987121034858378,480.2972216201015
RES,Recycling,CENTRAL,2029,2083124.74078802,2083611.4984,2083124.7407880188,2.08312474078802,2.0836114984,2.0831247407880187,486.75761197996326
RES,Recycling,CENTRAL,2030,2180276.03758147,2180768.61004,2180276.03758147,2.18027603758147,2.1807686100400003,2.18027603758147,492.57245853031054
RES,Recycling,CENTRAL,2031,2280238.78264536,2280745.65174,2280238.782645362,2.2802387826453603,2.28074565174,2.280238782645362,506.86909464001656
RES,Recycling,CENTRAL,2032,2380892.9631364,2381403.28272,2380892.963136401,2.3808929631364,2.38140328272,2.380892963136401,510.3195835999213
RES,Recycling,CENTRAL,2033,2484131.24780691,2484654.7176,2484131.247806915,2.4841312478069097,2.4846547176000002,2.484131247806915,523.4697930901311
RES,Recycling,CENTRAL,2034,2587983.86783432,2588510.40108,2587983.867834319,2.58798386783432,2.58851040108,2.587983867834319,526.5332456803881
RES,Recycling,CENTRAL,2035,2692270.40485851,2692799.1336,2692270.404858504,2.69227040485851,2.6927991336,2.6922704048585038,528.7287414898165
RES,Recycling,CENTRAL,2036,2799076.82415884,2799618.38225,2799076.824158837,2.7990768241588397,2.79961838225,2.799076824158837,541.55809115991
RES,Recycling,CENTRAL,2037,2906361.02601192,2906904.95336,2906361.026011915,2.90636102601192,2.90690495336,2.906361026011915,543.9273480800912
RES,Recycling,CENTRAL,2038,3014087.97394833,3014634.14532,3014087.973948327,3.01408797394833,3.01463414532,3.014087973948327,546.1713716699742
RES,Recycling,CENTRAL,2039,3124213.8759585,3124772.26022,3124213.875958496,3.1242138759585,3.12477226022,3.1242138759584956,558.3842615000904
RES,Recycling,CENTRAL,2040,3234792.55190638,3235353.18113,3234792.55190638,3.23479255190638,3.23535318113,3.23479255190638,560.6292236200534
RES,Recycling,CENTRAL,2041,3348105.1282888,3348679.67718001,3348105.128288805,3.3481051282888,3.34867967718001,3.348105128288805,574.5488912099972
RES,Recycling,CENTRAL,2042,3462149.32276065,3462727.52882,3462149.3227606514,3.46214932276065,3.4627275288200003,3.4621493227606512,578.2060593501665
RES,Recycling,CENTRAL,2043,3578841.53946774,3579433.22039,3578841.539467739,3.57884153946774,3.57943322039,3.578841539467739,591.6809222600423
RES,Recycling,CENTRAL,2044,3698253.30874653,3698858.779,3698253.308746529,3.6982533087465304,3.698858779,3.698253308746529,605.4702534698881
