scenario,label,variant,year,aquatic_t,terrestrial_t,open_burning_t,total_leakage_t,leakage_avoided_vs_BAU_t,required_investment_usd,required_investment_pv_3_5_usd,opex_usd,capex_usd,revenue_usd,net_annual_cost_usd,ghg_total,jobs_total,investment_per_t_avoided_usd
BAU,Business-as-Usual,UPPER,2034,793731.3298693374,801264.391196702,1454929.020278829,3049924.741344868,0.0,1165815143.8328028,720219366.6886861,5287289151.804727,1725759685.2852142,923132097.307778,6089916739.782163,14666438.45258635,102168.9815262727,
BAU,Business-as-Usual,UPPER,2035,830716.8576940881,842062.004799923,1516941.574732984,3189720.437226995,0.0,1170604173.5503607,698722649.3152534,5435344801.396038,1778058040.434081,925608190.835295,6287794650.994824,15225174.25591441,103966.06904915236,
BAU,Business-as-Usual,UPPER,2036,868536.2360145957,883705.794830031,1580448.01105215,3332690.0418967768,0.0,1199059033.253338,691504432.972218,5556013878.45249,1885899875.9924076,932641934.923988,6509271819.520909,15730614.967892876,106772.60449726768,
BAU,Business-as-Usual,UPPER,2037,906566.0047183747,925554.881840149,1644307.302058116,3476428.18861664,0.0,1204257162.0885346,671016642.1268898,5846963381.318983,1953147046.1883276,937132544.8060241,6862977882.701286,16349326.207691828,111587.6413117668,
BAU,Business-as-Usual,UPPER,2038,944782.660773908,967579.643570412,1708487.441733321,3620849.746077641,0.0,1209188931.5343602,650980331.1124675,6113053592.669975,1956208459.850701,960109783.2780302,7109152269.242646,16997146.8924521,112150.6623884266,
BAU,Business-as-Usual,UPPER,2039,983790.2746176828,1010394.57866262,1774084.7483216291,3768269.601601932,0.0,1236289147.3434968,643062834.9541389,6272129858.693855,2072993085.7141163,973533596.7715001,7371589347.636471,17511833.497869905,114274.65459392003,
BAU,Business-as-Usual,UPPER,2040,1022985.7162307336,1053374.86105683,1840006.320571447,3916366.897859011,0.0,1241238398.74872,623804073.657701,6532523508.009486,2153330848.9365444,997062910.667171,7688791446.278858,18521694.28708102,117631.44162083216,
BAU,Business-as-Usual,UPPER,2041,1063076.3285061072,1097247.48010119,1907903.208312328,4068227.016919625,0.0,1272136269.0309644,617712356.6793742,6735797394.728958,2212165459.903013,1013735769.964616,7934227084.667356,19036677.667081382,117711.52731896611,
BAU,Business-as-Usual,UPPER,2042,1103437.6346828514,1141361.99443472,1977212.755644644,4222012.384762215,0.0,1280235465.8578627,600623276.323507,7052536460.299093,2267166928.942157,1015754834.1826591,8303948555.05859,19436981.73143548,121857.5601664549,
BAU,Business-as-Usual,UPPER,2043,1144666.285818726,1186332.53910082,2048072.316213732,4379071.141133278,0.0,1310153450.879076,593873737.0697197,7203980391.347391,2316375093.4088264,1031927874.222775,8488427610.533443,20069276.771731216,124528.10608181101,
BAU,Business-as-Usual,UPPER,2044,1186792.0621549787,1232187.20004037,2120528.326058457,4539507.588253805,0.0,1340771208.3127425,587200315.6008316,7406943241.458522,2446132772.586378,1036601314.069088,8816474699.975811,20812201.56767889,127640.44726142425,
CDS,Collection & Disposal,CENTRAL,2020,257193.0423549285,175508.364662917,379216.385303749,811917.7923215945,63593.039548466564,0.0,0.0,2499049935.4610934,791441302.3586805,699431281.5947078,2591059956.2250657,6796030.065970467,75049.92819005591,0.0
CDS,Collection & Disposal,CENTRAL,2021,269538.7420512685,187337.583114616,397973.35525648296,854849.6804223675,79393.01655663608,592096972.8170514,572074369.8715473,2594137722.764164,821805522.8069724,722901945.8385781,2693041299.7325583,7051535.280494327,77438.49764415034,7457.796648835872
CDS,Collection & Disposal,CENTRAL,2022,299038.33685879415,211339.198664236,441385.06967118103,951762.6051942112,100656.99787593051,1584453972.620106,1479104737.6789248,2853213913.8418856,904072685.3308946,788310490.2984229,2968976108.874357,7748528.141549669,84707.6813852841,15741.120896264945
CDS,Collection & Disposal,CENTRAL,2023,313521.5934587332,224749.335382882,463093.10328442405,1001364.0321260393,117140.95869367383,689644341.6024431,622019683.4135494,2965664857.6136603,939918077.0701221,816348816.50739,3089234118.1763926,8048269.8785238145,87616.95038828251,5887.303205413216
CDS,Collection & Disposal,CENTRAL,2024,328035.3590658155,238163.883712523,484987.733305149,1051186.9760834875,133420.37485451135,703363410.3269489,612940577.1769813,3079742459.029044,976298796.0336919,845318485.2011031,3210722769.861633,8350850.708606139,90558.04967608793,5271.784096648908
CDS,Collection & Disposal,CENTRAL,2025,323091.9809895064,228215.328236439,429997.07531164296,981304.3845375883,267654.7656681533,788608049.192413,663986816.5886588,3198539600.703397,1017599102.5245262,863205669.8189931,3352933033.40893,8461388.979359468,93483.14639183167,2946.3628163832277
CDS,Collection & Disposal,CENTRAL,2026,344678.5394650581,256098.721350261,469730.309557876,1070507.5703731952,263505.94921662286,1021351578.1408671,830870166.8823357,3354909278.289857,1070106550.4831219,876070863.9849824,3548944964.7879963,8918719.747661192,95425.036854433,3876.009559470078
CDS,Collection & Disposal,CENTRAL,2027,363604.6027907434,278074.242000734,503328.06393691996,1145006.9087283975,275686.2278654624,1041190592.1302292,818366393.7633936,3517645438.1208014,1124309482.366077,898252533.2809207,3743702387.2059574,9369148.801030716,98082.18084274305,3776.7232704795847
CDS,Collection & Disposal,CENTRAL,2028,382811.9642526568,300494.86829565,538070.735957767,1221377.5685060737,288656.53329004114,1085601716.4386077,824418488.9116758,3686611033.192966,1180647100.01299,921216942.6988661,3946041190.5070896,9835942.97414784,100842.02811814751,3760.8769982275044
CDS,Collection & Disposal,CENTRAL,2029,402893.1301187721,323424.37693231,573121.946423188,1299439.4534742702,301209.9057759084,1098294689.741246,805852830.4545349,3857248502.917958,1237716840.1014073,942786889.1883366,4152178453.831029,10307492.97636822,103454.49931683662,3646.2767946229033
CDS,Collection & Disposal,CENTRAL,2030,421928.9945528991,346140.88130267,609190.5660456368,1377260.4419012058,315148.75433440716,1119518514.1624393,793647736.9861633,4031638120.19697,1296072830.563024,965693833.533347,4362017117.226647,10788322.744732833,106240.2716463049,3552.3494818402746
CDS,Collection & Disposal,CENTRAL,2031,441415.67333545757,369757.618424304,647081.281793151,1458254.5735529126,328337.00028128875,1152860947.4676998,789647164.4938413,4211599981.271597,1356396186.0958803,988695687.988889,4579300479.378589,11285996.109182939,109074.89987973408,3511.212402135718
CDS,Collection & Disposal,CENTRAL,2032,460767.43239445286,393561.971444182,685757.4490376125,1540086.8528762474,341474.63908385485,1163101684.853067,769721269.2477057,4393449112.355724,1417478128.2601998,1011426826.3445616,4799500414.271362,11789052.215417558,111898.95825249121,3406.114398344668
CDS,Collection & Disposal,CENTRAL,2033,480374.22922048706,417962.697822684,725905.1139517826,1624242.0409949538,354545.56402001996,1195495376.7501235,764404708.7102431,4580661867.585163,1480455699.950661,1034459758.2969629,5026657809.238861,12307258.56506033,114786.32366053016,3371.9089958282993
CDS,Collection & Disposal,CENTRAL,2034,499812.7340861153,442517.197179709,766854.4669851203,1709184.3982509444,367535.6313947367,1205170797.21542,744532572.6929076,4769750210.070702,1544194189.1355193,1057257555.6776099,5256686843.52861,12830760.228797331,117666.959090185,3279.058393990256
CDS,Collection & Disposal,CENTRAL,2035,519908.68007251585,467136.839860789,809945.5163028912,1796991.036236196,378194.34315135214,1212475656.7375884,723715344.8176159,4960404317.300037,1608529856.9983985,1068184831.2832611,5500749343.015175,13360703.011547202,120540.09000833338,3205.9592606131596
CDS,Collection & Disposal,CENTRAL,2036,540293.6799743072,492317.324662902,854630.071099441,1887241.0757366503,388599.91416093335,1244511084.0355134,717716899.3578593,5156486545.981588,1674791653.1061702,1079185465.8787668,5752092733.208992,13905820.650788289,123480.58184142361,3202.5511038072855
CDS,Collection & Disposal,CENTRAL,2037,559674.9694401327,515835.080190107,898641.7587463564,1974151.8083765958,402889.3759868904,1250617036.592356,696848539.4145318,5355783503.259967,1741899894.5511813,1095950137.1315134,6001733260.679634,14452121.88451728,126826.36462384119,3104.120165812091
CDS,Collection & Disposal,CENTRAL,2038,578410.5779222584,538506.101067886,942653.3028449991,2059569.9818351434,419152.9477108673,1258497403.3408933,677526096.1837174,5557464493.984519,1809781691.1850185,1115107424.011227,6252138761.158311,15000796.823332513,130353.96078831029,3002.4777595242103
CDS,Collection & Disposal,CENTRAL,2039,597311.564047383,561593.263535328,988171.5057054139,2147076.3332881248,435393.16475614253,1289725326.23326,670857967.4761751,5764523012.11884,1879571749.5353894,1134583663.3932662,6509511098.260963,15563745.707588589,133964.20175527662,2962.2084833500235
CDS,Collection & Disposal,CENTRAL,2040,615997.1702053216,584707.125196839,1034544.5845378791,2235248.8799400395,451438.669186139,1298218539.363589,652440348.4208537,5973494393.6539345,1950136518.5992177,1153878772.5719144,6769752139.681237,16131288.586594144,137589.67796609408,2875.736236118272
CDS,Collection & Disposal,CENTRAL,2041,634943.2612083855,608370.66285566,1082667.2855842223,2325981.2096482674,467257.5081130685,1333518614.8617988,647517837.7624311,6188564369.424401,2022861759.4265134,1173513892.0227652,7037912236.82815,16715215.343465399,141307.27877403286,2853.9265644910934
CDS,Collection & Disposal,CENTRAL,2042,653732.6601129416,632128.968374221,1131801.7678380522,2417663.3963252148,482806.8511812389,1345557957.5849857,631269364.5198449,6406173754.313128,2096580486.7642255,1193030001.545324,7309724239.53203,17305401.12934166,145050.13023528416,2786.9487649003604
CDS,Collection & Disposal,CENTRAL,2043,672756.7646558962,656413.834155821,1182706.2289667865,2511876.8277785038,498075.3640100728,1380260933.575605,625652451.7825668,6629864683.227353,2172469053.491028,1212851903.545402,7589481833.172977,17911760.049892645,148882.44950039196,2771.188927038944
CDS,Collection & Disposal,CENTRAL,2044,692050.0873481348,681271.518783117,1235495.2353462086,2608816.84147746,512939.917015939,1415812629.2262266,620065241.2274672,6859843598.785186,2250605475.5374904,1232969413.901889,7877479660.420787,18534933.492592845,152805.49365782915,2760.191948918321
